NumOfTips,LikCalculations,Time,isInfLik
0300,5000,0178.044,0
0300,5000,0180.925,0
0400,5000,0182.063,0
0400,5000,0179.540,1
0400,5000,0242.867,0
0400,5000,0253.807,0
0400,5000,0243.121,0
0400,5000,0205.869,0
0400,5000,0251.038,1
0400,5000,0165.000,0
0400,5000,0209.711,0
0400,5000,0250.629,0
0400,5000,0212.672,1
0400,5000,0219.703,0
0400,5000,0225.351,0
0400,5000,0240.897,0
0400,5000,0195.403,0
0400,5000,0231.176,0
0400,5000,0255.220,0
0400,5000,0235.449,0
0400,5000,0288.731,1
0400,5000,0258.527,1
0400,5000,0297.213,1
0400,5000,0310.527,1
0400,5000,0231.355,1
0400,5000,0230.134,1
0400,5000,0217.281,1
0400,5000,0250.733,1
0400,5000,0181.488,0
0400,5000,0262.959,0
0400,5000,0269.356,1
0400,5000,0303.713,1
0400,5000,0290.139,0
0400,5000,0161.964,0
0400,5000,0198.779,0
0400,5000,0255.414,1
0400,5000,0251.389,1
0400,5000,0252.493,1
0400,5000,0266.665,1
0400,5000,0255.958,1
0400,5000,0271.738,0
0400,5000,0279.921,0
0400,5000,0286.267,1
0400,5000,0241.844,1
0400,5000,0252.061,1
0400,5000,0220.398,0
0400,5000,0256.307,0
0400,5000,0250.346,1
0400,5000,0246.569,1
0400,5000,0289.380,1
0400,5000,0277.908,0
0400,5000,0270.615,1
0500,5000,0312.755,1
0500,5000,0266.566,1
0500,5000,0279.611,1
0500,5000,0256.336,1
0500,5000,0240.901,0
0500,5000,0347.316,0
0500,5000,0336.237,1
0500,5000,0267.647,1
0500,5000,0237.594,0
0500,5000,0262.227,1
0500,5000,0414.145,1
0500,5000,0270.094,1
0500,5000,0279.818,0
0500,5000,0249.189,1
0500,5000,0329.601,0
0500,5000,0347.735,1
0500,5000,0280.974,1
0500,5000,0325.352,1
0500,5000,0248.090,1
0500,5000,0282.013,1
0500,5000,0319.293,1
0500,5000,0293.664,1
0500,5000,0234.227,0
0500,5000,0267.465,1
0500,5000,0310.587,1
